Antibody Code,Antibody Name,Target Name,Pan or P-Site,Antibody Type,Target Full Name,Target Uniprot ID,Target Refseq ID
NN223-1,,CACNB4 (CACNLB4),Pan-specific,,,O00305,
NN224-1,,CACNG2 (Stargazin; TARP gamma-2),Pan-specific,,,Q9Y698,
NN224-2,,CACNG2 (Stargazin; TARP gamma-2),Pan-specific,,,Q9Y698,
NN225-1,,Cav1.2,Pan-specific,,,Q13936,
NN226-1,,Cav1.3 (CACNA1D; CACH3),Pan-specific,,,Q01668,
NN227-1,,Cav3.1 (CACNA1G),Pan-specific,,,O43497,
NN228-1,,CavBeta2 (CACNB2; CAB2),Pan-specific,,,Q5UM68,
NN229-1,,CD74,Pan-specific,,,P04233,
NN230-1,,CDC37,Pan-specific,,,Q16543,
NN231-1,,CENPA,Pan-specific,,,P49450,
NN232-1,,Chapsyn-110 (DLG2; PSD-93),Pan-specific,,,Q15700,
NN233-1,,CHAT (Choline acetylase),Pan-specific,,,P28329,
NN234-1,,ClCN3 (Clcn3; ClC-3),Pan-specific,,,P51790,
NN235-1,,Cpn10 (HSPE1),Pan-specific,,,P61604,
NN236-1,,Cytochrome P450 Reductase (POR; P450R; CYPOR),Pan-specific,,,P16435,
NN237-1,,DICER1 (Dicer; HERNA; Helicase MOI),Pan-specific,,,Q9UPY3,
NN238-1,,DLG3 (SAP102; Synapse-associated protein 102),Pan-specific,,,Q92796,
NN239-1,,DLG4 (PSD95),Pan-specific,,,P78352,
NN239-2,,DLG4 (PSD95),Pan-specific,,,P78352,
NN241-2,,DNMT1 (AIM; CXXC9; DNMT; MCMT),Pan-specific,,,P26358,
NN241-3,,DNMT1 (AIM; CXXC9; DNMT; MCMT),Pan-specific,,,P26358,
NN242-1,,DNMT3L,Pan-specific,,,Q9UJW3,
NN243-1,,DUX4,Pan-specific,,,Q9UBX2,
NN245-1,,EPM2A (LAFPTPase),Pan-specific,,,O95278,
NN246-1,,FGF13 (FHF2),Pan-specific,,,Q92913,
NN247-1,,FIG4 phosphatase (SAC3),Pan-specific,,,Q92562,
NN248-1,,FIH (HIF1; HIF1AN),Pan-specific,,,Q9NWT6,
NN249-1,,FKBP51,Pan-specific,,,Q13451,
NN250-1,,GABA A  Receptor (GABRA2),Pan-specific,,,P28472,
NN253-1,,GABA A Receptor (GABRB1),Pan-specific,,,P28472,
NN254-1,,GABA A Receptor (GABRB3),Pan-specific,,,P28472,
NN256-2,,GABA B Receptor 2 (GABBR2; GPR51; GPRC3B),Pan-specific,,,O75899,
NN257-1,,GABARAP (FLC3B),Pan-specific,,,O95166,
NN259-1,,GABBR1 (GABA B Receptor 1; GPRC3A),Pan-specific,,,Q9UBS5,
NN260-1,,GFAP,Pan-specific,,,P14136,
NN260-2,,GFAP,Pan-specific,,,P14136,
NN260-3,,GFAP-CT,Pan-specific,,,P14136,
NN262-1,,GLUT2 (SLC2A2),Pan-specific,,,P11168,
NN264-1,,GRIN1 (NMDAR1; GPRIN1),Pan-specific,,,Q7Z2K8,
NN265-1,,Grp170 (HYOU1; ORP-150),Pan-specific,,,Q9Y4L1,
NN265-2,,Grp170 (HYOU1; ORP-150),Pan-specific,,,Q9Y4L1,
NN265-3,,Grp170 (HYOU1; ORP-150),Pan-specific,,,Q9Y4L1,
NN265-4,,Grp170 (HYOU1; ORP-150),Pan-specific,,,Q9Y4L1,
NN265-5,,GRP170-3,Pan-specific,,,Q9Y4L1,
NN267-1,,HIF1A (HIF1 alpha),Pan-specific,,,Q16665,
NN268-1,,HSF1,Pan-specific,,,Q00613,
NN268-2,,HSF1,Pan-specific,,,Q00613,
NN268-4,,HSF1,Pan-specific,,,Q00613,
NN269-1,,HSP105 (HSPH1; HSP110),Pan-specific,,,Q92598,
NN270-1,,HspB2 (MKBP),Pan-specific,,,Q16082,
NN271-1,,INPP5F (OCRL),Pan-specific,,,Q9Y2H2,
NN272-1,,JIP2 (Mapk8ip2),Pan-specific,,,Q13387,
NN273-1,,KCNK3 (TASK; TASK1),Pan-specific,,,O14649,
NN274-1,,KCNQ1 (KCNA8; KCNA9; KVLQT1),Pan-specific,,,P51787,
NN275-1,,KCNQ2,Pan-specific,,,O43526,
NN278-1,,Kir2.2 (KCNJ12; IRK2; KCNJN1),Pan-specific,,,Q14500,
NN279-1,,Kir2.3 (KCNJ4),Pan-specific,,,P48050,
NN280-1,,Kir6.1 (KCNJ8; uKATP-1),Pan-specific,,,Q15842,
NN281-1,,KRAS (K-Ras; KRAS2; RASK2),Pan-specific,,,P01116,
NN281-2,,KRAS (K-Ras; KRAS2; RASK2),Pan-specific,,,P01116,
NN281-3,,HRAS,Pan-specific,,GTPase HRas,P01112,NP_001123914.1
NN281-4,,NRAS (N-Ras),Pan-specific,,,P01111,
NN282-1,,Kv3.1 (KCNC1; Kv4),Pan-specific,,,P48547,
NN283-1,,Kv3.2 (KCNC2),Pan-specific,,,Q96PR1,
NN284-2,,LAMP2,Pan-specific,,,P13473,
NN285-1,,LGI1 (Epitempin-1),Pan-specific,,,O95970,
NN286-1,,LRP4 (LRP10; MEGF7),Pan-specific,,,O75096,
NN287-2,,LRP4 (LRP10; MEGF7),Pan-specific,,,O75096,
NN288-1,,Malin (NHLRC1; EPM2B),Pan-specific,,,Q6VVB1,
NN289-1,,MDC1 (NFBD1),Pan-specific,,,Q14676,
NN290-1,,MFN2 (Marf; CPRP1),Pan-specific,,,O95140,
NN291-1,,mGluR5 (GRM5; GPRC1E; MGLUR5),Pan-specific,,,P41594,
NN291-2,,mGluR5 (GRM5; GPRC1E; MGLUR5),Pan-specific,,,P41594,
NN292-1,,MMP9 (GELB; Gelatinase B),Pan-specific,,,P14780,
NN293-1,,NALCN (VGCNL1),Pan-specific,,,Q8IZF0,
NN294-1,,NLGN1,Pan-specific,,,Q8N2Q7,
NN296-1,,NLGN4x (NLGN4l),Pan-specific,,,Q8N0W4,
NN297-1,,NMDAR2A (GRIN2A),Pan-specific,,Glutamate [NMDA] receptor subunit epsilon-1,Q12879,NP_000824.1
NN298-1,,Notch1 (TAN1),Pan-specific,,,P46531,
NN299-1,,NPAS4 (BHLHE79; NXF;  PASD10),Pan-specific,,,Q8IUM7,
NN300-1,,NrCAM,Pan-specific,,,Q92823,
NN301-1,,PANX2 (Pannexin 2),Pan-specific,,,Q96RD6,
NN302-1,,PCDH-gamma-A3 (PCDHGA3),Pan-specific,,,Q9UN70,
NN304-1,,PCDH-gamma-C3 (PCDH2),Pan-specific,,,Q9UN70,
NN305-1,,PEX6 (Peroxin-6; PXAAA1),Pan-specific,,,Q13608,
NN306-1,,PHYH (Phytanic acid oxidase; PAHX),Pan-specific,,,O14832,
NN307-2,,Piccolo (Pclo),Pan-specific,,,Q9Y6V0,
NN308-1,,PCDH-gamma-A1 (PCDHGA1),Pan-specific,,,Q9UN70,
NN308-2,,PCDH-gamma-A3 (PCDHGA3),Pan-specific,,,Q9UN70,
NN309-1,,PTGES3 (p23),Pan-specific,,,Q15185,
NN310-1,,PUMA (CHST9),Pan-specific,,,Q9BXH1,
NN311-1,,QKI (HKQ),Pan-specific,,,Q96PU8,
NN312-1,,REEP1,Pan-specific,,,Q9H902,
NN312-2,,REEP2 (SGC32445),Pan-specific,,,Q9BRK0,
NN313-1,,Rhodopsin (OPN2; RHO; Opsin-2),Pan-specific,,,P08100,
NN313-2,,Rhodopsin (OPN2; RHO; Opsin-2),Pan-specific,,,P08100,
NN314-1,,SCN2B (NaVbeta2; Gm183),Pan-specific,,,Q9NY72,
NN315-1,,SCN3B (NaVbeta3),Pan-specific,,,Q9NY72,
NN316-1,,SCNN1A (ENaCA; Alpha-ENaC;  Sodium channel; nonvoltage-gated; type I; alpha),Pan-specific,,,P37088,
NN317-1,,SCNN1B (Beta-ENaC; SCNEB),Pan-specific,,,P51168,
NN317-2,,SCNN1B (Beta-ENaC; SCNEB),Pan-specific,,,P51168,
NN318-1,,SHANK2 (CortBP1; Cortactin-binding protein 1; PROSAP1),Pan-specific,,,Q9UPX8,
NN319-1,,SHANK3 (PROSAP2; PSAP2),Pan-specific,,,Q9BYB0,
NN320-1,,SLC12A1 (NKCC2; Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 2),Pan-specific,,,Q13621,
NN321-1,,SLC12A3 (NCC; Thiazide-sensitive sodium-chloride cotransporter),Pan-specific,,,P55017,
NN322-1,,SLC12A5 (KCC2; K-Cl cotransporter 2),Pan-specific,,,Q9H2X9,
NN323-1,,SLC17A6 (VGLUT2; Dnpi),Pan-specific,,,Q9P2U8,
NN324-1,,SLC38A1 (ATA1; NAT2),Pan-specific,,,Q9H2H9,
NN326-1,,SLC9A3 (NHE3),Pan-specific,,,P48764,
NN328-1,,SOD3 (Cu/Zn; ECSOD),Pan-specific,,,P08294,
NN328-2,,SOD3 (Cu/Zn; ECSOD),Pan-specific,,,P08294,
NN340-1,,SUR1 (Abcc8),Pan-specific,,,Q09428,
NN340-2,,SUR1 (Abcc8)/SUR2B (Abcc9),Pan-specific,,,Q09428,
NN341-1,,SUR2A (Abcc9),Pan-specific,,,O60706,
NN343-1,,SYT9 (Synaptotagmin 9),Pan-specific,,,Q86SS6,
NN344-1,,SYT10 (Synaptotagmin 10),Pan-specific,,,Q6XYQ8,
NN345-1,,SYT12 (Synaptotagmin 12),Pan-specific,,,Q8IV01,
NN346-1,,TCP1 alpha (CCT-alpha),Pan-specific,,,P17987,
NN346-2,,TCP1 alpha (CCT-alpha),Pan-specific,,,P17987,
NN347-1,,TNFR1 (CD120a; TNFRSF1A; TNFAR),Pan-specific,,,P19438,
NN348-1,,TRAK2 (ALS2CR3),Pan-specific,,,O60296,
NN349-1,,TRAP1 (HSP75),Pan-specific,,,Q12931,
NN349-2,,TRAP1 (HSP75),Pan-specific,,,Q12931,
NN350-1,,TRPC5 (TRP5),Pan-specific,,,Q9UL62,
NN355-1,,UT-A1 (Slc14a2; HUT2; UT2),Pan-specific,,,Q15849,
NN356-1,,UVRAG,Pan-specific,,,Q9P2Y5,
NN357-1,,VAChT (SLC18A3),Pan-specific,,,Q16572,
NN358-1,,VAMP1 (Synaptobrevin-1; SYB1)/VAMP2,Pan-specific,,,P23763,
NN360-1,,Versican (GHAP; CSPG2),Pan-specific,,,P13611,
NN361-1,,VGLUT1 (SLC17A7; BNPI),Pan-specific,,,Q9P2U7,
NN362-1,,VGLUT3 (SLC17A8; Solute carrier family 17 member 8),Pan-specific,,,Q9P2U8,
NN363-1,,TXNDC5 (TLP46; ERp46; PDI),Pan-specific,,,Q8NBS9,
NN366-1,,SYT3,Pan-specific,,,Q9BQG1,
NN367-1,,SYT6,Pan-specific,,,Q5T7P8,
NN368-1,,TLR4 (CD284),Pan-specific,,,O00206,
NN369-1,,SCNN1G (ENaCG; Gamma-ENaC; Nonvoltage-gated sodium channel 1 subunit gamma),Pan-specific,,,P51170,
NN370-1,,Synaptophysin (SYP),Pan-specific,,,P08247,
NN372-1,,Beclin-2 (BECN2),Pan-specific,,,A8MW95,
NN372-2,,Beclin-2 (BECN2),Pan-specific,,,A8MW95,
NN373-1,,ATG4A,Pan-specific,,,Q8WYN0,
NN374-1,,ATG4B,Pan-specific,,,Q9Y4P1,
NN375-1,,SQSTM1 (Sequestosome-1),Pan-specific,,,Q13501,
NN376-1,,FIP200 (RB1CC1),Pan-specific,,,Q8TDY2,
NN378-1,,RAB1B,Pan-specific,,,Q9H0U4,
NN379-1,,COX4/COX4I1,Pan-specific,,,P13073,
NN380-1,,Tubulin-alpha (TUBA1B),Pan-specific,,,Q71U36,
NN381-1,,COX1 (PTGS1),Pan-specific,,,P00395,
NN383-2,,IRS1,Pan-specific,,Insulin receptor substrate 1,P35568,NP_005535
NN390-1,,ACC1 (ACACA),Pan-specific,,Acetyl-CoA carboxylase 1,Q13085,NP_000655
NN395-1,,BRCA1,Pan-specific,,Breast cancer type 1 susceptibility protein homolog,P38398,NP_009225.1
NN398-1,,Connexin 43,Pan-specific,,Gap junction alpha-1 protein,P17302,NP_000156.1
NN407-1,,eIF4B,Pan-specific,,Eukaryotic translation initiation factor 4B,P23588,NP_001408.2
NN408-1,,eIF4G (eIF4G1),Pan-specific,,Eukaryotic translation initiation factor 4 gamma 1,Q04637,NP_004944
NN410-1,,ENFB2,Pan-specific,,Ephrin-B2,P52799,NP_004084.1
NN411-1,,ERa (ESR1),Pan-specific,,Estrogen receptor,P03372,NP_000116.2
NN415-1,,FRS2,Pan-specific,,Fibroblast growth factor receptor substrate 2,Q8WU20,NP_001036020.1
NN422-1,,Huntingtin,Pan-specific,,Huntington's disease protein,P42858,NP_002102
NN424-1,,ITGA4 (CD49D; Integrin a4 ),Pan-specific,,Integrin alpha 4 (VLA4),P13612,NP_000876.3
NN428-1,,MDM2,Pan-specific,,E3 ubiquitin-protein ligase double minute 2 protein,Q00987,XP_005268929.1
NN429-1,,MEF2A,Pan-specific,,Myocyte-specific enhancer factor 2A,Q02078,XP_011519883.1
NN430-1,,Myc,Pan-specific,,Myc proto-oncogene protein,P01106,NP_002458.2
NN431-1,,MyoD,Pan-specific,,Myoblast determination protein 1,P15172,NP_002469.2
NN432-1,,PLPB1 (MYT1),Pan-specific,,Myelin transcription factor 1,Q01538,NP_004526.1
NN441-2,,14-3-3 (KCIP-1),Pan-specific,,,P31946,
NN441-3,,14-3-3 (KCIP-1),Pan-specific,,,P31946,
NN445-1,,Smad1,Pan-specific,,SMA- and mothers against decapentaplegic homologue 1,Q15797,NP_005891.1
NN449-1,,TH (TY3H),Pan-specific,,Tyrosine 3-monooxygenase,P07101,NP_954986
NN450-1,,14-3-3-F,Pan-specific,,,P31946,
NN451-1,,14-3-3-E-1,Pan-specific,,,P62258,
NN451-3,,14-3-3e (YWHAE),Pan-specific,,,P62258,
NN452-1,,14-3-3b (YWHAB),Pan-specific,,,P31946,
NN452-2,,14-3-3-B-2,Pan-specific,,,P31946,
NN453-2,,14-3-3-G-2,Pan-specific,,,P61981,
NN454-1,,14-3-3-S (YWHAS; SFN),Pan-specific,,,P00519,
NN454-2,,14-3-3-S (YWHAS; SFN),Pan-specific,,,P00519,
NN455-1,,14-3-3-T (YWHAQ),Pan-specific,,,P27348,
NN455-2,,14-3-3-T-2,Pan-specific,,,P27348,
NN456,,CACNG3 (TARP3),Pan-specific,,,O60359,
NN456-2,,PCYT1A (CTPCT; CCTA),Pan-specific,,,P49585,
NN459-2,,S100A9,Pan-specific,,,P06702,
NN459-3,,S100A9,Pan-specific,,,P06702,
NN460-3,,SAA2,Pan-specific,,,P0DJI9,
NN461-1,,CTSS,Pan-specific,,,P25774,
NN461-2,,CTSS,Pan-specific,,,P25774,
NN461-3,,CTSS,Pan-specific,,,P25774,
NN462-1,,CPD,Pan-specific,,,O75976,
NN462-2,,CPD,Pan-specific,,,O75976,
NN462-3,,CPD,Pan-specific,,,O75976,
NN463-1,,GALNT7,Pan-specific,,,Q86SF2,
NN464-2,,TRPV4,Pan-specific,,,Q9HBA0,
NN582-1,,NF-L-CT,Pan-specific,,,Q14494,
NN583-1,,NF-H-CT,Pan-specific,,,P12036,
NN604-1,,NRP1[293-309],Pan-specific,,,O14786,
NN604-2,,NRP1,Pan-specific,,,O14786,
NN605-1,,PCYT1B-PNT,Pan-specific,,,Q9Y5K3,
NN606-1,,PCYT1A-PNT,Pan-specific,,,P49585,
NNCOV2-1A-1,,SARS-CoV-2 ORF1A,Pan-specific,,,,
NNCOV2-1A-2,,SARS-CoV-2 ORF1A,Pan-specific,,,,
NNCOV2-1B-3,,SARS-CoV-2 ORF1B,Pan-specific,,,,
NNCOV2M-1,,SARS-CoV-2 Membr.,Pan-specific,,,,
NNCOV2S-1,,SARS-CoV-2 Spike RBD,Pan-specific,,,,
NNCOV2S-11,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-12,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-13,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-14,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-16,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-17,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NNCOV2S-3,,SARS-CoV-2 Spike S1,Pan-specific,,,,
NNCOV2S-4,,SARS-CoV-2 Spike S1,Pan-specific,,,,
NNCOV2S-5,,SARS-CoV-2 Spike RBD,Pan-specific,,,,
NNCOV2S-6,,SARS-CoV-2 Spike RBD,Pan-specific,,,,
NNCOV2S-7,,SARS-CoV-2 Spike RBD,Pan-specific,,,,
NNCOV2S-9,,SARS-CoV-2 Spike S2,Pan-specific,,,,
NP001,CD45,CD45,Pan-specific,Mouse monoclonal,"Leukocyte common antigen CD45 receptor-tyrosine phosphatase (LCA, T200)",P08575,NP_002829
NP002,,Cdc25B,Pan-specific,,Cell division cycle 25B phosphatase,P30305,NP_004349
NP002-2,,CDC25B,Pan-specific,,,P30305,
NP002-3,,CDC25B,Pan-specific,,,P30305,
NP002-4,,CDC25B,Pan-specific,,,P30305,
NP003,,Cdc25C,Pan-specific,,Cell division cycle 25C phosphatase,P30307,NP_001781
NP003-2,,CDC25C,Pan-specific,,,P30307,
NP003-3,,CDC25C,Pan-specific,,,P30307,
NP004,KAP,KAP,Pan-specific,Rabbit polyclonal,"Cyclin-dependent  kinase associated phosphatase (CDK inhibitor 3, CIP2)",Q16667,NP_005183
NP005,,LAR,Pan-specific,,LCA antigen-related (LAR) receptor tyrosine phosphatase,P10586,NP_002831
NP005-2,,LAR (PTPRF),Pan-specific,,,P10586,
NP006,,MKP1,Pan-specific,,"MAP kinase phosphatase  1 (CL100, VH1, DUSP1)",P28562,NP_004408
NP006-2,,DUSP1 (MKP1; CL100; VH1),Pan-specific,,,P28562,
NP006-3,,DUSP1 (MKP1; CL100; VH1),Pan-specific,,,P28562,
NP006-4,,DUSP1-1 (MKP-1),Pan-specific,,,P28562,
NP007,,MKP2,Pan-specific,,MAP kinase phosphatase  2 (VH2),Q13115,NP_001385
NP007-2,,DUSP4 (MKP2; VH2),Pan-specific,,,Q13115,
NP007-3,,DUSP4 (MKP2; VH2),Pan-specific,,,Q13115,
NP007-4,,DUSP4 (MKP2; VH2),Pan-specific,,,Q13115,
NP008,PAC1,PAC1,Pan-specific,Goat polyclonal,Dual specificity MAP kinase protein phosphatase,Q05923,NP_004409
NP008-2,,DUSP2 (PAC1),Pan-specific,,,Q05923,
NP008-3,,DUSP2 (PAC1),Pan-specific,,,Q05923,
NP008-4,,DUSP2 (PAC1),Pan-specific,,,Q05923,
NP009,,PP1/Ca,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - alpha isoform,P62136,NP_002699
NP009-1,,PP1/Ca,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - alpha isoform,P62136,
NP009-2,,PP1/Ca,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - alpha isoform,P62136,NP_002699
NP010,,PP1/Cb,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - beta isoform,P62140,NP_002700
NP010-1,PP1/Cb (PP1b),PP1/Cb (PPP1CB),Pan-specific,Rabbit polyclonal,Protein-serine phosphatase 1 - catalytic subunit - beta isoform,P62140,NP_002700
NP010-2,,PP1/Cb,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - beta isoform,P62140,NP_002700
NP010-3,,PP1/Cb (PPP1CB),Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit†- beta isoform,P62140,NP_996759.1
NP011,,PP1/Cg,Pan-specific,,Protein-serine phosphatase 1 - catalytic subunit - gamma isoform,P36873,NP_002701
NP012,,PP2A/Aa/b,Pan-specific,,Protein-serine phosphatase 2A - A  regulatory subunit - alpha and beta isoforms,P30153,NP_002707
NP012-1,PP2A/Aa/b,PP2A/Aa/b (PPP2R1A),Pan-specific,Rabbit polyclonal,Protein-serine phosphatase 2A - A  regulatory subunit - alpha and beta isoforms,P30153,NP_002707
NP012-2,,PP2A/Aa/b,Pan-specific,,Protein-serine phosphatase 2A - A  regulatory subunit - alpha and beta isoforms,P30153,NP_002707
NP013-NP014,,PP2A/Ca,Pan-specific,,Protein-serine phosphatase 2A - catalytic subunit - alpha isoform,P67775,NP_002706
NP013-NP014-2,,PP2A/Ca (PPP2CA),Pan-specific,,Protein-serine phosphatase 2A - catalytic subunit - alpha and beta isoform,P67775,NP_002706.1
NP015,,PP2B/Aa,Pan-specific,,Protein-serine phosphatase 2B - catalytic subunit - alpha isoform,Q08209,NP_000935
NP016,PP2Ca/b,PP2Ca (PPM1A; PPPM1A),Pan-specific,Rabbit polyclonal,Protein-serine phosphatase 2C - catalytic subunit - alpha,P35813,NP_066283
NP016-NP031,,PP2Ca,Pan-specific,,Protein-serine phosphatase 2C - catalytic subunit - alpha,P35813,NP_066283
NP018,,PP2Cd,Pan-specific,,Protein-serine phosphatase 2C - catalytic subunit - delta isoform,O15297,NP_110395
NP019,,PP4/A’2,Pan-specific,,Protein-serine phosphatase 4 - regulatory subunit (PPX/A'2),Q8TF05,NP_005125
NP020,,PP4C,Pan-specific,,Protein-serine phosphatase X - catalytic subunit (PPX/C),P60510, NP_002711
NP020-1,,PP4C,Pan-specific,,,P60510,
NP020-2,,PP4C,Pan-specific,,Protein-serine phosphatase X - catalytic subunit (PPX/C),P60510, NP_002711
NP021,,PP5C,Pan-specific,,Protein-serine phosphatase 5  - catalytic subunit (PPT),P53041,NP_006238
NP021-1,,PP5C,Pan-specific,,Protein-serine phosphatase 5  - catalytic subunit (PPT),P53041,NP_006238
NP021-2,,PP5C,Pan-specific,,Protein-serine phosphatase 5  - catalytic subunit (PPT),P53041,NP_006238
NP021-3,,PPP5C (PP5C; PP5; PPT),Pan-specific,,,P53041,
NP022,,PP6C,Pan-specific,,Protein-serine phosphatase 6  - catalytic subunit (PPVC),O00743,NP_002712
NP022-1,,PP6C (V/C),Pan-specific,,,O00743,
NP022-2,,PP6C (V/C),Pan-specific,,,O00743,
NP023,PTEN,PTEN,Pan-specific,Mouse monoclonal,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and protein phosphatase and tensin homolog deleted on chromosome 10",P60484,NP_000305
NP023-2,PTEN,PTEN,Pan-specific,Rabbit polyclonal,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and protein phosphatase and tensin homolog deleted on chromosome 10",P60484,NP_000305
NP023-3,,PTEN,Pan-specific,,,P60484,
NP023-4,,PTEN,Pan-specific,,,P60484,
NP023-5,,PTEN,Pan-specific,,,P60484,
NP024,,PTP1B,Pan-specific,,Protein-tyrosine phosphatase 1B (PTPN1),P18031,NP_002818
NP024-2,,PTPN1 (PTP1B),Pan-specific,,"Protein-tyrosine phosphatase, non-receptor type 1",P18031,NP_002818.1
NP025,,PTP1C,Pan-specific,,"Protein-tyrosine phosphatase 1C (SHP1, SHPTP1, PTPN6)",P29350,NP_002822
NP026,,PTP1D,Pan-specific,,"Protein-tyrosine phosphatase 1D (SHP2, SHPTP2, Syp, PTP2C, PTPN11)",Q06124,NP_002825
NP026-1,,PTP1D,Pan-specific,,"Protein-tyrosine phosphatase 1D (SHP2, SHPTP2, Syp, PTP2C, PTPN11)",Q06124,NP_002825
NP026-2,,PTP1D,Pan-specific,,"Protein-tyrosine phosphatase 1D (SHP2, SHPTP2, Syp, PTP2C, PTPN11)",Q06124,NP_002825
NP026-3,,PTPN11 (PTP1D; PTP2C; SHP2; SHPTP2; Syp),Pan-specific,,Tyrosine-protein phosphatase non-receptor type 11,Q06124,NP_002825
NP027,,PTP-PEST,Pan-specific,,"Protein tyrosine phosphatase, non-receptor type 12",Q05209,NP_001124480.1
NP030,,VHR,Pan-specific,,Dual specificity protein phosphatase 3,P51452,NP_004081
NP030-2,,DUSP3 (VHR),Pan-specific,,,P51452,
NP030-3,,DUSP3 (VHR),Pan-specific,,,P51452,
NP030-4,,DUSP3 (VHR),Pan-specific,,,P51452,
NP032,,PP2A/Bg2,Pan-specific,,Protein-serine phosphatase 2A - B regulatory subunit - gamma isoform,Q9Y2T4,NP_001193923.1
NP033,,PP2A B' (B56),Pan-specific,,Protein-serine phosphatase 2A - B regulatory subunit - B56 alpha isoform,Q15172,NP_001186685.1
NP034,,TPIPb,Pan-specific,,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase TPTE2",Q6XPS3,NP_001135440.1
NP035,,PP2A/Bb,Pan-specific,,Protein-serine phosphatase 2A - B regulatory subunit - beta isoform,Q00005,NP_001120853.1
NP036,,PTPD1,Pan-specific,,Protein-tyrosine phosphatase non-receptor type 21,Q16825,NP_008970.2
NP037,Wip1*,WIP1,Pan-specific,Goat polyclonal,Protein phosphatase 1D,O15297,NP_003611.1.
NP038-1,,CDC25A,Pan-specific,,,P30304,
NP038-2,,CDC25A,Pan-specific,,,P30304,
NP038-3,,CDC25A,Pan-specific,,,P30304,
NP039-1,,DUSP5,Pan-specific,,,Q16690,
NP039-2,,DUSP5,Pan-specific,,,Q16690,
NP039-3,,DUSP5,Pan-specific,,,Q16690,
NP040-1,,DUSP6,Pan-specific,,,Q16828,
NP040-2,,DUSP6,Pan-specific,,,Q16828,
NP040-3,,DUSP6,Pan-specific,,,Q16828,
NP041-1,,DUSP7,Pan-specific,,,Q16829,
NP041-2,,DUSP7,Pan-specific,,,Q16829,
NP041-3,,DUSP7,Pan-specific,,,Q16829,
NP042-1,,DUSP8,Pan-specific,,,Q13202,
NP042-3,,DUSP8,Pan-specific,,,Q13202,
NP043-2,,DUSP9,Pan-specific,,,Q99956,
NP043-3,,DUSP9,Pan-specific,,,Q99956,
NP044-1,,SHIP1 (INPP5D),Pan-specific,,,Q92835,
NP044-2,,SHIP1 (INPP5D),Pan-specific,,,Q92835,
NP044-3,,SHIP1 (INPP5D),Pan-specific,,,Q92835,
NP045-1,,SHIP2 (INPPL1),Pan-specific,,,O15357,
NP045-2,,SHIP2 (INPPL1),Pan-specific,,,O15357,
NP045-3,,SHIP2 (INPPL1),Pan-specific,,,O15357,
NP046-1,,DUSP12,Pan-specific,,,Q9UNI6,
NP046-2,,DUSP12,Pan-specific,,,Q9UNI6,
NP046-3,,DUSP12,Pan-specific,,,Q9UNI6,
NP047-1,,DUSP10,Pan-specific,,,Q9Y6W6,
NP047-2,,DUSP10,Pan-specific,,,Q9Y6W6,
NP048-1,,DUSP11,Pan-specific,,,O75319,
NP048-2,,DUSP11,Pan-specific,,,O75319,
NP048-3,,DUSP11,Pan-specific,,,O75319,
NP049-1,,MYPT1 (MBS),Pan-specific,,Protein phosphatase 1 regulatory subunit 12A,O14974,NP_446342
NP049-2,,MYPT1 (MBS),Pan-specific,,Protein phosphatase 1 regulatory subunit 12A,O14974,NP_446342
NP049-3,,PPP3CA (PP2B-Aa; Calcineurin Aa),Pan-specific,,,A0A0S2Z4C6,
NP050-1,,PHLPP2,Pan-specific,,,Q6ZVD8,
OSA-150,,HO1 (HO; HMOX1),Pan-specific,,,P09601,
OSA-200,,HO2 (HMOX2),Pan-specific,,,P30519,
P105M,,PTPN12 (PTP-PEST; PTPG1),Pan-specific,,,Q05209,
P16520,,PKCa,Pan-specific,,,P17252,
P16520 610108,,PKCa (PRKCA),Pan-specific,,,P17252,
P17320 610126,,PTPN6 (PTP1C; SH-PTP1),Pan-specific,,,P29350,
P18020,,PTP1B,Pan-specific,,,P18031,
P18020 610140,,PTPN1 (PTP1B),Pan-specific,,,P18031,
P215P,,PPP4R2 (PP4/A’2; PPX/A'2; MEG1),Pan-specific,,,Q9NY27,
P47720,,PP2A/Ca/b (PPP2AC),Pan-specific,,,P67775,
P47720 610556,,PPP2CA (PP2A/Ca),Pan-specific,,,P67775,
P54420  610622,,PTPN11 (PTP1D; PTP2C; SHP2; SHPTP2; Syp),Pan-specific,,,Q06124,
P73420 610981,,PRKACA (PKA),Pan-specific,,,P17612,
